regName;shortString;Groups;Groups2
Emp_1;"0.letrozole;";Aromatase;Aromatase
Emp_2;"0.tamoxifen;";Hormonal;Hormonal
Emp_3;"0.paclitaxel;";Chemo;Chemo only
Emp_4;"0.anastrozole;";Aromatase;Aromatase
Emp_5;"0.cyclophosphamide;";Chemo;Chemo only
Emp_6;"0.pertuzumab;0.trastuzumab;";HER2-mAb;HER2-mAb
Emp_7;"0.cyclophosphamide;0.doxorubicin;0.doxorubicinpegylatedliposomal;";Chemo;Chemo only
Emp_8;"0.capecitabine;";Chemo;Chemo only
Emp_9;"0.docetaxel;";Chemo;Chemo only
Emp_10;"0.exemestane;";Aromatase;Aromatase
Emp_11;"0.fulvestrant;";SERD;SERD
Emp_12;"0.ribociclib;";CDK4/6;CDK4/6
Emp_13;"0.cyclophosphamide;0.docetaxel;";Chemo;Chemo only
Emp_14;"0.doxorubicin;0.doxorubicinpegylatedliposomal;";Chemo;Chemo only
Emp_15;"0.paclitaxel;0.pertuzumab;0.trastuzumab;";"HER2-mAb;Chemo";HER2-mAb
Emp_16;"0.docetaxel;0.pertuzumab;0.trastuzumab;";"HER2-mAb;Chemo";HER2-mAb
Emp_17;"0.trastuzumab;";HER2-mAb;HER2-mAb
Emp_18;"0.letrozole;0.ribociclib;";"Aromatase;CDK4/6";"Aromatase;CDK4/6"
Emp_19;"0.palbociclib;";CDK4/6;CDK4/6
Emp_20;"0.fulvestrant;0.ribociclib;";"SERD;CDK4/6";"SERD;CDK4/6"
Emp_21;"0.abemaciclib;";CDK4/6;CDK4/6
Emp_22;"0.capecitabine;0.lapatinib;";"HER2-TKI;Chemo";HER2-TKI
Emp_23;"0.cyclophosphamide;0.doxorubicin;0.doxorubicinpegylatedliposomal;0.paclitaxel;";Chemo;Chemo only
Emp_24;"0.letrozole;0.pertuzumab;0.trastuzumab;";"HER2-mAb;Aromatase";"HER2-mAb;Aromatase"
Emp_25;"0.letrozole;0.palbociclib;";"Aromatase;CDK4/6";"Aromatase;CDK4/6"
