"name","concept_id","manual","concept_me","valid_concept_id","domain_id","concept_class_id","manual_req","concept_code_atc"
"Abemaciclib",35802858,35802858,"abemaciclib",792649,"Drug","Component",NA,"L01EF03"
"ado-trastuzumab emtansine",43525787,43525787,"ado-trastuzumab emtansine",43525787,"Drug","Precise Ingredient",NA,"L01FD01"
"ado-trastuzumab emtansine",43525787,43525787,"ado-trastuzumab emtansine",43525787,"Drug","Precise Ingredient",NA,"L01FD03"
"Alpelisib",35101867,35101867,"alpelisib",1396423,"Drug","Component",NA,"L01EM03"
"Anastrozole",35802887,35802887,"anastrozole",1348265,"Drug","Component",NA,"L02BG03"
"Atezolizumab and hyaluronidase",37561471,37561471,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD01"
"Atezolizumab and hyaluronidase",37561471,37561471,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD02"
"Capecitabine",35802939,35802939,"capecitabine",1337620,"Drug","Component",NA,"L01BC06"
"Cyclophosphamide",35802975,35802975,"cyclophosphamide",1310317,"Drug","Component",NA,"L01AA01"
"Daratumumab and hyaluronidase",911978,911978,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD01"
"Daratumumab and hyaluronidase",911978,911978,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD02"
"Docetaxel",35803016,35803016,"docetaxel",1315942,"Drug","Component",NA,"L01CD02"
"Doxorubicin",35803022,35803022,"doxorubicin",1338512,"Drug","Component",NA,"L01DB01"
"doxorubicin liposome",19051649,19051649,"doxorubicin liposome",19051649,"Drug","Precise Ingredient",NA,"L01DB01"
"Exemestane",35803055,35803055,"exemestane",1398399,"Drug","Component",NA,"L02BG06"
"Fulvestrant",35803089,35803089,"fulvestrant",1304044,"Drug","Component",NA,"L02BA03"
"Lapatinib",35803146,35803146,"lapatinib",1359548,"Drug","Component",NA,"L01EH01"
"Letrozole",35803154,35803154,"letrozole",1315946,"Drug","Component",NA,"L02BG04"
"Mannitol",35803169,35803169,"mannitol",994058,"Drug","Component",NA,"L01AA01"
"Margetuximab",912179,912179,"margetuximab",739518,"Drug","Component",NA,"L01FD06"
"Neratinib",35803200,35803200,"neratinib",793846,"Drug","Component",NA,"L01EH02"
"Paclitaxel",35803229,35803229,"paclitaxel",1378382,"Drug","Component",NA,"L01CD01"
"Palbociclib",35803231,35803231,"palbociclib",45892075,"Drug","Component",NA,"L01EF01"
"Pegylated liposomal doxorubicin",35803243,35803243,"Doxorubicin pegylated liposomal",902725,"Drug","Component",NA,"L01DB01"
"Pertuzumab",35803250,35803250,"pertuzumab",42801287,"Drug","Component",NA,"L01FD01"
"Pertuzumab",35803250,35803250,"pertuzumab",42801287,"Drug","Component",NA,"L01FD02"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD01"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD02"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"pertuzumab",42801287,"Drug","Component",NA,"L01FD01"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"pertuzumab",42801287,"Drug","Component",NA,"L01FD02"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Pertuzumab and Trastuzumab hyaluronidase",37557162,37557162,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Ribociclib",35803291,35803291,"ribociclib",1592911,"Drug","Component",NA,"L01EF02"
"Rituximab and hyaluronidase human",35803297,35803297,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD01"
"Rituximab and hyaluronidase human",35803297,35803297,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD02"
"sodium chloride",967823,967823,"sodium chloride",967823,"Drug","Ingredient",NA,"L01AA01"
"Tamoxifen",35803329,35803329,"tamoxifen",1436678,"Drug","Component",NA,"L02BA01"
"Trastuzumab",35803361,35803361,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab",35803361,35803361,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab",35803361,35803361,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab-anns",42542388,42542388,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab-anns",42542388,42542388,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab-anns",42542388,42542388,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab-dkst",35803359,35803359,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab-dkst",35803359,35803359,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab-dkst",35803359,35803359,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab-dttb",42542389,42542389,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab-dttb",42542389,42542389,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab-dttb",42542389,42542389,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab-pkrb",35803360,35803360,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab-pkrb",35803360,35803360,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab-pkrb",35803360,35803360,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab-qyyp",42542390,42542390,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab-qyyp",42542390,42542390,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab-qyyp",42542390,42542390,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab and hyaluronidase",35101252,35101252,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD01"
"Trastuzumab and hyaluronidase",35101252,35101252,"hyaluronidase",19073699,"Drug","Component",NA,"L01FD02"
"Trastuzumab and hyaluronidase",35101252,35101252,"trastuzumab",1387104,"Drug","Component",NA,"L01FD01"
"Trastuzumab and hyaluronidase",35101252,35101252,"trastuzumab",1387104,"Drug","Component",NA,"L01FD02"
"Trastuzumab and hyaluronidase",35101252,35101252,"trastuzumab",1387104,"Drug","Component",NA,"L01FD03"
"Trastuzumab deruxtecan",36118944,36118944,"Trastuzumab deruxtecan",36118944,"Drug","Ingredient",NA,"L01FD04"
"Tucatinib",911976,911976,"tucatinib",1145571,"Drug","Component",NA,"L01EH03"
"ado-trastuzumab emtansine",35802866,35802866,"ado-trastuzumab emtansine",43525787,"Drug","Component",NA,"L01FD03"
"trastuzumab deruxtecan",42542260,42542260,"trastuzumab deruxtecan",36118944,"Drug","Component",NA,"L01FD04"
