"regName","shortString","key"
"Emp_109","0.daratumumab;28.dexamethasone;56.ixazomib;","daratumumab+dexamethasone+ixazomib"
"Emp_109","0.dexamethasone;28.ixazomib;56.daratumumab;","daratumumab+dexamethasone+ixazomib"
"Emp_115","0.lenalidomide;28.daratumumab;56.selinexor;","daratumumab+lenalidomide+selinexor"
"Emp_123","0.thalidomide;28.dexamethasone;56.ixazomib;","dexamethasone+ixazomib+thalidomide"
"Emp_123","0.ixazomib;28.dexamethasone;56.thalidomide;","dexamethasone+ixazomib+thalidomide"
"Emp_126","0.lenalidomide;28.dexamethasone;56.pomalidomide;","dexamethasone+lenalidomide+pomalidomide"
"Emp_131","0.thalidomide;28.dexamethasone;56.pomalidomide;","dexamethasone+pomalidomide+thalidomide"
"Emp_137","0.lenalidomide;28.melphalan;56.ixazomib;","ixazomib+lenalidomide+melphalan"
"Emp_142","0.lenalidomide;28.thalidomide;56.pomalidomide;","lenalidomide+pomalidomide+thalidomide"
"Emp_19","0.thalidomide;14.cyclophosphamide;28.bortezomib;42.dexamethasone;56.lenalidomide;","bortezomib+cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_3","0.bortezomib;9.dexamethasone;19.melphalan;28.cyclophosphamide;37.lenalidomide;47.daratumumab;56.carfilzomib;","bortezomib+carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide+melphalan"
"Emp_31","0.pomalidomide;19.bortezomib;37.thalidomide;56.cyclophosphamide;","bortezomib+cyclophosphamide+pomalidomide+thalidomide"
"Emp_38","0.daratumumab;14.lenalidomide;28.bortezomib;42.pomalidomide;56.thalidomide;","bortezomib+daratumumab+lenalidomide+pomalidomide+thalidomide"
"Emp_39","0.daratumumab;28.bortezomib;56.melphalan;","bortezomib+daratumumab+melphalan"
"Emp_46","0.bortezomib;28.dexamethasone;56.pomalidomide;","bortezomib+dexamethasone+pomalidomide"
"Emp_5","0.lenalidomide;14.cyclophosphamide;28.dexamethasone;42.bortezomib;56.carfilzomib;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+lenalidomide"
"Emp_5","0.bortezomib;14.lenalidomide;28.cyclophosphamide;42.carfilzomib;56.dexamethasone;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+lenalidomide"
"Emp_52","0.bortezomib;56.pomalidomide;","bortezomib+pomalidomide"
"Emp_57","0.cyclophosphamide;14.thalidomide;28.carfilzomib;42.dexamethasone;56.ixazomib;","carfilzomib+cyclophosphamide+dexamethasone+ixazomib+thalidomide"
"Emp_59","0.carfilzomib;14.pomalidomide;28.cyclophosphamide;42.lenalidomide;56.dexamethasone;","carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+pomalidomide"
"Emp_60","0.thalidomide;14.cyclophosphamide;28.lenalidomide;42.dexamethasone;56.carfilzomib;","carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_64","0.carfilzomib;19.cyclophosphamide;37.melphalan;56.lenalidomide;","carfilzomib+cyclophosphamide+lenalidomide+melphalan"
"Emp_70","0.carfilzomib;28.daratumumab;56.lenalidomide;","carfilzomib+daratumumab+lenalidomide"
"Emp_73","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.pomalidomide;","carfilzomib+dexamethasone+lenalidomide+pomalidomide"
"Emp_74","0.dexamethasone;28.carfilzomib;56.melphalan;","carfilzomib+dexamethasone+melphalan"
"Emp_75","0.thalidomide;19.melphalan;37.carfilzomib;56.dexamethasone;","carfilzomib+dexamethasone+melphalan+thalidomide"
"Emp_76","0.dexamethasone;28.carfilzomib;56.pomalidomide;","carfilzomib+dexamethasone+pomalidomide"
"Emp_79","0.ixazomib;28.lenalidomide;56.carfilzomib;","carfilzomib+ixazomib+lenalidomide"
"Emp_8","0.lenalidomide;14.dexamethasone;28.bortezomib;42.melphalan;56.carfilzomib;","bortezomib+carfilzomib+dexamethasone+lenalidomide+melphalan"
"Emp_81","0.lenalidomide;19.melphalan;37.thalidomide;56.carfilzomib;","carfilzomib+lenalidomide+melphalan+thalidomide"
"Emp_82","0.lenalidomide;28.carfilzomib;56.pomalidomide;","carfilzomib+lenalidomide+pomalidomide"
"Emp_83","0.lenalidomide;28.carfilzomib;56.thalidomide;","carfilzomib+lenalidomide+thalidomide"
"Emp_83","0.lenalidomide;28.thalidomide;56.carfilzomib;","carfilzomib+lenalidomide+thalidomide"
"Emp_85","0.carfilzomib;28.melphalan;56.thalidomide;","carfilzomib+melphalan+thalidomide"
"Emp_89","0.daratumumab;56.cyclophosphamide;","cyclophosphamide+daratumumab"
"Emp_92","0.thalidomide;14.dexamethasone;28.cyclophosphamide;42.pomalidomide;56.ixazomib;","cyclophosphamide+dexamethasone+ixazomib+pomalidomide+thalidomide"
"Emp_94","0.thalidomide;19.cyclophosphamide;37.dexamethasone;56.lenalidomide;","cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_99","0.ixazomib;19.pomalidomide;37.cyclophosphamide;56.thalidomide;","cyclophosphamide+ixazomib+pomalidomide+thalidomide"
