"regName","shortString","key"
"Emp_10","0.carfilzomib;14.dexamethasone;28.bortezomib;42.cyclophosphamide;56.thalidomide;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.dexamethasone;14.bortezomib;28.cyclophosphamide;42.thalidomide;56.carfilzomib;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.carfilzomib;14.cyclophosphamide;28.dexamethasone;42.thalidomide;56.bortezomib;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.bortezomib;14.cyclophosphamide;28.dexamethasone;42.thalidomide;56.carfilzomib;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.carfilzomib;14.dexamethasone;28.thalidomide;42.bortezomib;56.cyclophosphamide;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_102","0.venetoclax;28.dexamethasone;56.cyclophosphamide;","cyclophosphamide+dexamethasone+venetoclax"
"Emp_105","0.cyclophosphamide;56.venetoclax;","cyclophosphamide+venetoclax"
"Emp_108","0.lenalidomide;19.daratumumab;37.dexamethasone;56.ixazomib;","daratumumab+dexamethasone+ixazomib+lenalidomide"
"Emp_109","0.ixazomib;14.dexamethasone;28.lenalidomide;42.pomalidomide;56.daratumumab;","daratumumab+dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_109","0.ixazomib;14.lenalidomide;28.daratumumab;42.dexamethasone;56.pomalidomide;","daratumumab+dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_11","0.bortezomib;19.daratumumab;37.dexamethasone;56.carfilzomib;","bortezomib+carfilzomib+daratumumab+dexamethasone"
"Emp_11","0.carfilzomib;19.dexamethasone;37.bortezomib;56.daratumumab;","bortezomib+carfilzomib+daratumumab+dexamethasone"
"Emp_110","0.daratumumab;19.dexamethasone;37.thalidomide;56.ixazomib;","daratumumab+dexamethasone+ixazomib+thalidomide"
"Emp_113","0.dexamethasone;19.pomalidomide;37.daratumumab;56.lenalidomide;","daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_113","0.daratumumab;19.dexamethasone;37.lenalidomide;56.pomalidomide;","daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_116","0.daratumumab;28.venetoclax;56.dexamethasone;","daratumumab+dexamethasone+venetoclax"
"Emp_12","0.carfilzomib;14.dexamethasone;28.lenalidomide;42.bortezomib;56.daratumumab;","bortezomib+carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_120","0.ixazomib;19.dexamethasone;37.lenalidomide;56.pomalidomide;","dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_121","0.thalidomide;19.ixazomib;37.dexamethasone;56.lenalidomide;","dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_122","0.ixazomib;28.dexamethasone;56.melphalan;","dexamethasone+ixazomib+melphalan"
"Emp_13","0.thalidomide;14.carfilzomib;28.dexamethasone;42.bortezomib;56.daratumumab;","bortezomib+carfilzomib+daratumumab+dexamethasone+thalidomide"
"Emp_15","0.carfilzomib;19.dexamethasone;37.lenalidomide;56.bortezomib;","bortezomib+carfilzomib+dexamethasone+lenalidomide"
"Emp_16","0.carfilzomib;19.dexamethasone;37.bortezomib;56.melphalan;","bortezomib+carfilzomib+dexamethasone+melphalan"
"Emp_19","0.bortezomib;14.cyclophosphamide;28.dexamethasone;42.daratumumab;56.lenalidomide;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide"
"Emp_19","0.dexamethasone;14.bortezomib;28.cyclophosphamide;42.lenalidomide;56.daratumumab;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide"
"Emp_19","0.lenalidomide;14.daratumumab;28.dexamethasone;42.bortezomib;56.cyclophosphamide;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide"
"Emp_2","0.carfilzomib;14.daratumumab;28.dexamethasone;42.bortezomib;56.cyclophosphamide;","bortezomib+carfilzomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_2","0.bortezomib;14.daratumumab;28.dexamethasone;42.carfilzomib;56.cyclophosphamide;","bortezomib+carfilzomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_20","0.daratumumab;14.dexamethasone;28.bortezomib;42.cyclophosphamide;56.melphalan;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+melphalan"
"Emp_20","0.bortezomib;14.daratumumab;28.dexamethasone;42.cyclophosphamide;56.melphalan;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+melphalan"
"Emp_21","0.dexamethasone;14.bortezomib;28.cyclophosphamide;42.thalidomide;56.daratumumab;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+thalidomide"
"Emp_21","0.bortezomib;14.daratumumab;28.dexamethasone;42.cyclophosphamide;56.thalidomide;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+thalidomide"
"Emp_21","0.daratumumab;14.dexamethasone;28.bortezomib;42.cyclophosphamide;56.thalidomide;","bortezomib+cyclophosphamide+daratumumab+dexamethasone+thalidomide"
"Emp_24","0.dexamethasone;11.bortezomib;22.cyclophosphamide;34.thalidomide;45.ixazomib;56.lenalidomide;","bortezomib+cyclophosphamide+dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_25","0.ixazomib;11.dexamethasone;22.venetoclax;34.bortezomib;45.cyclophosphamide;56.thalidomide;","bortezomib+cyclophosphamide+dexamethasone+ixazomib+thalidomide+venetoclax"
"Emp_3","0.carfilzomib;11.dexamethasone;22.lenalidomide;34.bortezomib;45.cyclophosphamide;56.daratumumab;","bortezomib+carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide"
"Emp_36","0.ixazomib;19.bortezomib;37.daratumumab;56.dexamethasone;","bortezomib+daratumumab+dexamethasone+ixazomib"
"Emp_36","0.bortezomib;19.dexamethasone;37.daratumumab;56.ixazomib;","bortezomib+daratumumab+dexamethasone+ixazomib"
"Emp_36","0.bortezomib;19.daratumumab;37.dexamethasone;56.ixazomib;","bortezomib+daratumumab+dexamethasone+ixazomib"
"Emp_38","0.daratumumab;14.dexamethasone;28.lenalidomide;42.selinexor;56.bortezomib;","bortezomib+daratumumab+dexamethasone+lenalidomide+selinexor"
"Emp_39","0.daratumumab;14.dexamethasone;28.lenalidomide;42.bortezomib;56.thalidomide;","bortezomib+daratumumab+dexamethasone+lenalidomide+thalidomide"
"Emp_40","0.bortezomib;19.daratumumab;37.dexamethasone;56.melphalan;","bortezomib+daratumumab+dexamethasone+melphalan"
"Emp_42","0.daratumumab;14.dexamethasone;28.pomalidomide;42.selinexor;56.bortezomib;","bortezomib+daratumumab+dexamethasone+pomalidomide+selinexor"
"Emp_43","0.daratumumab;19.dexamethasone;37.bortezomib;56.selinexor;","bortezomib+daratumumab+dexamethasone+selinexor"
"Emp_46","0.ixazomib;28.bortezomib;56.dexamethasone;","bortezomib+dexamethasone+ixazomib"
"Emp_47","0.thalidomide;14.ixazomib;28.dexamethasone;42.lenalidomide;56.bortezomib;","bortezomib+dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_48","0.ixazomib;19.selinexor;37.dexamethasone;56.bortezomib;","bortezomib+dexamethasone+ixazomib+selinexor"
"Emp_55","0.bortezomib;28.dexamethasone;56.selinexor;","bortezomib+dexamethasone+selinexor"
"Emp_55","0.dexamethasone;28.selinexor;56.bortezomib;","bortezomib+dexamethasone+selinexor"
"Emp_55","0.selinexor;28.bortezomib;56.dexamethasone;","bortezomib+dexamethasone+selinexor"
"Emp_55","0.selinexor;28.dexamethasone;56.bortezomib;","bortezomib+dexamethasone+selinexor"
"Emp_57","0.bortezomib;28.dexamethasone;56.venetoclax;","bortezomib+dexamethasone+venetoclax"
"Emp_59","0.thalidomide;28.bortezomib;56.venetoclax;","bortezomib+thalidomide+venetoclax"
"Emp_6","0.bortezomib;9.cyclophosphamide;19.dexamethasone;28.melphalan;37.lenalidomide;47.carfilzomib;56.thalidomide;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+melphalan+thalidomide"
"Emp_62","0.daratumumab;11.dexamethasone;22.lenalidomide;34.carfilzomib;45.cyclophosphamide;56.ixazomib;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+ixazomib+lenalidomide"
"Emp_63","0.carfilzomib;14.cyclophosphamide;28.dexamethasone;42.daratumumab;56.lenalidomide;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide"
"Emp_64","0.dexamethasone;11.lenalidomide;22.carfilzomib;34.cyclophosphamide;45.daratumumab;56.pomalidomide;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_64","0.daratumumab;11.dexamethasone;22.lenalidomide;34.pomalidomide;45.carfilzomib;56.cyclophosphamide;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_65","0.carfilzomib;11.cyclophosphamide;22.dexamethasone;34.thalidomide;45.lenalidomide;56.daratumumab;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+lenalidomide+thalidomide"
"Emp_66","0.carfilzomib;14.dexamethasone;28.cyclophosphamide;42.daratumumab;56.melphalan;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+melphalan"
"Emp_67","0.carfilzomib;14.cyclophosphamide;28.dexamethasone;42.daratumumab;56.pomalidomide;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+pomalidomide"
"Emp_67","0.dexamethasone;14.carfilzomib;28.cyclophosphamide;42.pomalidomide;56.daratumumab;","carfilzomib+cyclophosphamide+daratumumab+dexamethasone+pomalidomide"
"Emp_69","0.carfilzomib;19.cyclophosphamide;37.dexamethasone;56.ixazomib;","carfilzomib+cyclophosphamide+dexamethasone+ixazomib"
"Emp_7","0.bortezomib;11.cyclophosphamide;22.dexamethasone;34.carfilzomib;45.thalidomide;56.lenalidomide;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_7","0.lenalidomide;11.dexamethasone;22.bortezomib;34.cyclophosphamide;45.thalidomide;56.carfilzomib;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+thalidomide"
"Emp_72","0.carfilzomib;11.cyclophosphamide;22.dexamethasone;34.thalidomide;45.melphalan;56.lenalidomide;","carfilzomib+cyclophosphamide+dexamethasone+lenalidomide+melphalan+thalidomide"
"Emp_74","0.carfilzomib;19.cyclophosphamide;37.dexamethasone;56.melphalan;","carfilzomib+cyclophosphamide+dexamethasone+melphalan"
"Emp_74","0.melphalan;19.carfilzomib;37.cyclophosphamide;56.dexamethasone;","carfilzomib+cyclophosphamide+dexamethasone+melphalan"
"Emp_76","0.carfilzomib;19.cyclophosphamide;37.dexamethasone;56.pomalidomide;","carfilzomib+cyclophosphamide+dexamethasone+pomalidomide"
"Emp_79","0.carfilzomib;19.daratumumab;37.dexamethasone;56.lenalidomide;","carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.carfilzomib;19.dexamethasone;37.lenalidomide;56.daratumumab;","carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.daratumumab;","carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_79","0.carfilzomib;19.dexamethasone;37.daratumumab;56.lenalidomide;","carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_8","0.bortezomib;14.cyclophosphamide;28.dexamethasone;42.carfilzomib;56.melphalan;","bortezomib+carfilzomib+cyclophosphamide+dexamethasone+melphalan"
"Emp_81","0.carfilzomib;28.dexamethasone;56.ixazomib;","carfilzomib+dexamethasone+ixazomib"
"Emp_82","0.carfilzomib;19.dexamethasone;37.ixazomib;56.lenalidomide;","carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_82","0.lenalidomide;19.carfilzomib;37.dexamethasone;56.ixazomib;","carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_82","0.ixazomib;19.lenalidomide;37.carfilzomib;56.dexamethasone;","carfilzomib+dexamethasone+ixazomib+lenalidomide"
"Emp_83","0.carfilzomib;14.dexamethasone;28.thalidomide;42.lenalidomide;56.ixazomib;","carfilzomib+dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_84","0.carfilzomib;19.dexamethasone;37.ixazomib;56.thalidomide;","carfilzomib+dexamethasone+ixazomib+thalidomide"
