"regName","shortString","count","avg_days","Group","key"
"Emp_1","0.bortezomib;",67,46,"V","bortezomib"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.daratumumab;56.dexamethasone;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.daratumumab;56.dexamethasone;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.daratumumab;56.dexamethasone;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.dexamethasone;19.cyclophosphamide;37.bortezomib;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.dexamethasone;19.cyclophosphamide;37.bortezomib;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.dexamethasone;19.cyclophosphamide;37.bortezomib;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.dexamethasone;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.dexamethasone;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.cyclophosphamide;19.bortezomib;37.dexamethasone;56.daratumumab;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.bortezomib;19.dexamethasone;37.daratumumab;56.cyclophosphamide;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.bortezomib;19.dexamethasone;37.daratumumab;56.cyclophosphamide;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_10","0.bortezomib;19.dexamethasone;37.daratumumab;56.cyclophosphamide;",4,6,"DaraVCD","bortezomib+cyclophosphamide+daratumumab+dexamethasone"
"Emp_100","0.melphalan;56.dexamethasone;",56,15,"MD","dexamethasone+melphalan"
"Emp_100","0.melphalan;56.dexamethasone;",56,15,"MD","dexamethasone+melphalan"
"Emp_100","0.dexamethasone;56.melphalan;",56,15,"MD","dexamethasone+melphalan"
"Emp_100","0.dexamethasone;56.melphalan;",56,15,"MD","dexamethasone+melphalan"
"Emp_101","0.thalidomide;28.melphalan;56.dexamethasone;",1,18,"MTD","dexamethasone+melphalan+thalidomide"
"Emp_101","0.thalidomide;28.melphalan;56.dexamethasone;",1,18,"MTD","dexamethasone+melphalan+thalidomide"
"Emp_102","0.dexamethasone;56.pomalidomide;",14,10,"PomD","dexamethasone+pomalidomide"
"Emp_102","0.dexamethasone;56.pomalidomide;",14,10,"PomD","dexamethasone+pomalidomide"
"Emp_102","0.pomalidomide;56.dexamethasone;",14,10,"PomD","dexamethasone+pomalidomide"
"Emp_102","0.pomalidomide;56.dexamethasone;",14,10,"PomD","dexamethasone+pomalidomide"
"Emp_103","0.selinexor;56.dexamethasone;",2,20,"SelD","dexamethasone+selinexor"
"Emp_103","0.dexamethasone;56.selinexor;",2,20,"SelD","dexamethasone+selinexor"
"Emp_104","0.thalidomide;56.dexamethasone;",8,27,"TD","dexamethasone+thalidomide"
"Emp_104","0.thalidomide;56.dexamethasone;",8,27,"TD","dexamethasone+thalidomide"
"Emp_104","0.dexamethasone;56.thalidomide;",8,27,"TD","dexamethasone+thalidomide"
"Emp_104","0.dexamethasone;56.thalidomide;",8,27,"TD","dexamethasone+thalidomide"
"Emp_105","0.dexamethasone;56.venetoclax;",5,21,"VenD","dexamethasone+venetoclax"
"Emp_105","0.dexamethasone;56.venetoclax;",5,21,"VenD","dexamethasone+venetoclax"
"Emp_105","0.venetoclax;56.dexamethasone;",5,21,"VenD","dexamethasone+venetoclax"
"Emp_105","0.venetoclax;56.dexamethasone;",5,21,"VenD","dexamethasone+venetoclax"
"Emp_106","0.ixazomib;",44,NA,"I","ixazomib"
"Emp_107","0.ixazomib;56.lenalidomide;",5,39,"IR","ixazomib+lenalidomide"
"Emp_107","0.ixazomib;56.lenalidomide;",5,39,"IR","ixazomib+lenalidomide"
"Emp_107","0.lenalidomide;56.ixazomib;",5,39,"IR","ixazomib+lenalidomide"
"Emp_107","0.lenalidomide;56.ixazomib;",5,39,"IR","ixazomib+lenalidomide"
"Emp_108","0.thalidomide;28.lenalidomide;56.ixazomib;",1,12,"IRT","ixazomib+lenalidomide+thalidomide"
"Emp_109","0.melphalan;56.ixazomib;",1,3,NA,"ixazomib+melphalan"
