"regName","shortString","count","avg_days","Group","key"
"Emp_1","0.bortezomib;",38,11,"V","bortezomib"
"Emp_10","0.carfilzomib;14.dexamethasone;28.bortezomib;42.cyclophosphamide;56.thalidomide;",9,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.dexamethasone;14.bortezomib;28.cyclophosphamide;42.thalidomide;56.carfilzomib;",9,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.carfilzomib;14.cyclophosphamide;28.dexamethasone;42.thalidomide;56.bortezomib;",9,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.bortezomib;14.cyclophosphamide;28.dexamethasone;42.thalidomide;56.carfilzomib;",9,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_10","0.carfilzomib;14.dexamethasone;28.thalidomide;42.bortezomib;56.cyclophosphamide;",9,2,NA,"bortezomib+carfilzomib+cyclophosphamide+dexamethasone+thalidomide"
"Emp_100","0.cyclophosphamide;0.dexamethasone;0.pomalidomide;",1,0,"PomCD","cyclophosphamide+dexamethasone+pomalidomide"
"Emp_101","0.cyclophosphamide;28.dexamethasone;56.thalidomide;",10,4,"CTD","cyclophosphamide+dexamethasone+thalidomide"
"Emp_101","0.dexamethasone;28.thalidomide;56.cyclophosphamide;",10,4,"CTD","cyclophosphamide+dexamethasone+thalidomide"
"Emp_101","0.dexamethasone;28.cyclophosphamide;56.thalidomide;",10,4,"CTD","cyclophosphamide+dexamethasone+thalidomide"
"Emp_102","0.venetoclax;28.dexamethasone;56.cyclophosphamide;",2,7,NA,"cyclophosphamide+dexamethasone+venetoclax"
"Emp_103","0.lenalidomide;56.cyclophosphamide;",1,20,"RC","cyclophosphamide+lenalidomide"
"Emp_104","0.cyclophosphamide;56.melphalan;",5,26,"MC","cyclophosphamide+melphalan"
"Emp_104","0.melphalan;56.cyclophosphamide;",5,26,"MC","cyclophosphamide+melphalan"
"Emp_105","0.cyclophosphamide;56.venetoclax;",1,88,NA,"cyclophosphamide+venetoclax"
"Emp_106","0.daratumumab;",9,26,"Dara","daratumumab"
"Emp_107","0.daratumumab;56.dexamethasone;",105,9,"DaraD","daratumumab+dexamethasone"
"Emp_107","0.dexamethasone;56.daratumumab;",105,9,"DaraD","daratumumab+dexamethasone"
"Emp_108","0.lenalidomide;19.daratumumab;37.dexamethasone;56.ixazomib;",1,4,NA,"daratumumab+dexamethasone+ixazomib+lenalidomide"
"Emp_109","0.ixazomib;14.dexamethasone;28.lenalidomide;42.pomalidomide;56.daratumumab;",3,6,NA,"daratumumab+dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_109","0.ixazomib;14.lenalidomide;28.daratumumab;42.dexamethasone;56.pomalidomide;",3,6,NA,"daratumumab+dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_11","0.bortezomib;19.daratumumab;37.dexamethasone;56.carfilzomib;",10,4,NA,"bortezomib+carfilzomib+daratumumab+dexamethasone"
"Emp_11","0.carfilzomib;19.dexamethasone;37.bortezomib;56.daratumumab;",10,4,NA,"bortezomib+carfilzomib+daratumumab+dexamethasone"
"Emp_110","0.daratumumab;19.dexamethasone;37.thalidomide;56.ixazomib;",1,7,NA,"daratumumab+dexamethasone+ixazomib+thalidomide"
"Emp_111","0.daratumumab;28.dexamethasone;56.lenalidomide;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_111","0.lenalidomide;28.dexamethasone;56.daratumumab;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_111","0.daratumumab;28.lenalidomide;56.dexamethasone;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_111","0.dexamethasone;28.daratumumab;56.lenalidomide;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_111","0.lenalidomide;28.daratumumab;56.dexamethasone;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_111","0.dexamethasone;28.lenalidomide;56.daratumumab;",151,6,"DaraRD","daratumumab+dexamethasone+lenalidomide"
"Emp_112","0.daratumumab;19.dexamethasone;37.melphalan;56.lenalidomide;",3,7,"DaraMRD","daratumumab+dexamethasone+lenalidomide+melphalan"
"Emp_112","0.melphalan;19.daratumumab;37.dexamethasone;56.lenalidomide;",3,7,"DaraMRD","daratumumab+dexamethasone+lenalidomide+melphalan"
"Emp_112","0.daratumumab;19.dexamethasone;37.lenalidomide;56.melphalan;",3,7,"DaraMRD","daratumumab+dexamethasone+lenalidomide+melphalan"
"Emp_113","0.dexamethasone;19.pomalidomide;37.daratumumab;56.lenalidomide;",2,7,NA,"daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_113","0.daratumumab;19.dexamethasone;37.lenalidomide;56.pomalidomide;",2,7,NA,"daratumumab+dexamethasone+lenalidomide+pomalidomide"
"Emp_114","0.dexamethasone;28.daratumumab;56.melphalan;",1,9,"DaraMD","daratumumab+dexamethasone+melphalan"
"Emp_115","0.dexamethasone;28.daratumumab;56.pomalidomide;",16,5,"PomDaraD","daratumumab+dexamethasone+pomalidomide"
"Emp_115","0.daratumumab;28.dexamethasone;56.pomalidomide;",16,5,"PomDaraD","daratumumab+dexamethasone+pomalidomide"
"Emp_115","0.pomalidomide;28.daratumumab;56.dexamethasone;",16,5,"PomDaraD","daratumumab+dexamethasone+pomalidomide"
"Emp_116","0.daratumumab;28.venetoclax;56.dexamethasone;",1,2,NA,"daratumumab+dexamethasone+venetoclax"
"Emp_117","0.dexamethasone;",1088,14,"D","dexamethasone"
"Emp_118","0.ixazomib;56.dexamethasone;",124,13,"ID","dexamethasone+ixazomib"
"Emp_118","0.dexamethasone;56.ixazomib;",124,13,"ID","dexamethasone+ixazomib"
"Emp_119","0.ixazomib;28.dexamethasone;56.lenalidomide;",70,9,"IRD","dexamethasone+ixazomib+lenalidomide"
"Emp_119","0.lenalidomide;28.ixazomib;56.dexamethasone;",70,9,"IRD","dexamethasone+ixazomib+lenalidomide"
"Emp_119","0.ixazomib;28.lenalidomide;56.dexamethasone;",70,9,"IRD","dexamethasone+ixazomib+lenalidomide"
"Emp_119","0.dexamethasone;28.ixazomib;56.lenalidomide;",70,9,"IRD","dexamethasone+ixazomib+lenalidomide"
"Emp_119","0.dexamethasone;28.lenalidomide;56.ixazomib;",70,9,"IRD","dexamethasone+ixazomib+lenalidomide"
"Emp_12","0.carfilzomib;14.dexamethasone;28.lenalidomide;42.bortezomib;56.daratumumab;",1,2,NA,"bortezomib+carfilzomib+daratumumab+dexamethasone+lenalidomide"
"Emp_120","0.ixazomib;19.dexamethasone;37.lenalidomide;56.pomalidomide;",1,12,NA,"dexamethasone+ixazomib+lenalidomide+pomalidomide"
"Emp_121","0.thalidomide;19.ixazomib;37.dexamethasone;56.lenalidomide;",1,26,NA,"dexamethasone+ixazomib+lenalidomide+thalidomide"
"Emp_122","0.ixazomib;28.dexamethasone;56.melphalan;",1,5,NA,"dexamethasone+ixazomib+melphalan"
"Emp_123","0.dexamethasone;28.pomalidomide;56.ixazomib;",2,15,"PomID","dexamethasone+ixazomib+pomalidomide"
"Emp_123","0.ixazomib;28.dexamethasone;56.pomalidomide;",2,15,"PomID","dexamethasone+ixazomib+pomalidomide"
"Emp_124","0.ixazomib;28.dexamethasone;56.thalidomide;",2,11,"ITD","dexamethasone+ixazomib+thalidomide"
"Emp_125","0.dexamethasone;56.lenalidomide;",475,14,"RD","dexamethasone+lenalidomide"
"Emp_125","0.lenalidomide;56.dexamethasone;",475,14,"RD","dexamethasone+lenalidomide"
"Emp_126","0.melphalan;28.dexamethasone;56.lenalidomide;",29,16,"MRD","dexamethasone+lenalidomide+melphalan"
"Emp_126","0.dexamethasone;28.melphalan;56.lenalidomide;",29,16,"MRD","dexamethasone+lenalidomide+melphalan"
